DTA File Name,CFCKH3-01-F3_20250309160259.dta
DTA File Created Date Time ,2025-03-09 16:02:59
TST File Name For DTA ,MWMN323PR0_FS_125C_RM0101.ptf
CSV File Name,D:\Datalog\CFCKH3-01-F3_20250309160259.csv
CSV File Created Date Time,2025-03-09 16:02:59
Operator,15948
Station,CP31
Device_Name,MWMN323PR0_FS
Lot ID,CFCKH3-000
Comment,SDTS10212989
Time Point,
DataLog Rate,
Number Of Tests,
Bin,SORTNAME,Sub,Percent
1,pass,7810,99.74%
2,cont4 fail,0,0.00%
3,pre_os_gs1 fail,9,0.11%
5,pre os_ds1 fail,0,0.00%
6,pre_os_gs2 fail,4,0.05%
8,pre_os_ds2 fail,0,0.00%
9,pre_os_gs3 fail,0,0.00%
11,pre_os_ds3 fail,0,0.00%
14,igss1_1 fail,0,0.00%
15,igss1_2 fail,0,0.00%
16,bvss fail,5,0.06%
17,iss1 fail,2,0.03%
18,vgs(off) fail,0,0.00%
19,rsson1 fail,0,0.00%
20,rsson2 fail,0,0.00%
21,vfss fail,0,0.00%
22,igss2_1 fail,0,0.00%
23,igss2_2 fail,0,0.00%
24,iss2 fail,0,0.00%
25,post_os_chk fail,0,0.00%
99,Reject,0,0.00%
SBin,SORTNAME,Sub,Percent,Hbin
1,pass,7810,99.74%,1
2,cont4 fail,0,0.00%,2
3,pre_os_gs1 fail,9,0.11%,3
5,pre os_ds1 fail,0,0.00%,5
6,pre_os_gs2 fail,4,0.05%,6
8,pre_os_ds2 fail,0,0.00%,8
9,pre_os_gs3 fail,0,0.00%,9
11,pre_os_ds3 fail,0,0.00%,11
14,igss1_1 fail,0,0.00%,14
15,igss1_2 fail,0,0.00%,15
16,bvss fail,5,0.06%,16
17,iss1 fail,2,0.03%,17
18,vgs(off) fail,0,0.00%,18
19,rsson1 fail,0,0.00%,19
20,rsson2 fail,0,0.00%,20
21,vfss fail,0,0.00%,21
22,igss2_1 fail,0,0.00%,22
23,igss2_2 fail,0,0.00%,23
24,iss2 fail,0,0.00%,24
25,post_os_chk fail,0,0.00%,25
99,Reject,0,0.00%,99
Quantity Logged,7830
Datalog Quantity To Log,0
Tester,PTM-CP-123
Program,MWMN323PR0_FS_125C_RM0101.ptf
Probe card,N100-MWMN323PR0-002
Temperature,125
Wafer ID,CFCKH3-01-F3
Beginning Time,2025-03-09 14:21:00
Ending Time,2025-03-09 16:02:59
Test Name,,,,,,SW_SIT,SW_DC,SW_LV_DIE1,CONT4,PRE_OS_GS1,PRE_OS_DS1,SW_LV_DIE2,PRE_OS_GS2,PRE_OS_DS2,SW_LV_DIE,PRE_OS_GS3,PRE_OS_DS3,IGSS1_1,IGSS1_2,BVSS,ISS1,VGS(OFF),RSSON1,RSSON2,VFSS,IGSS2_1,IGSS2_2,ISS2,POST_OS_CHK
Bias1,,,,,,,,,IB=1.000mA,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,VSG=-20.00V,VSG=20.00V,IS2=250.0uA,VS2S1=100.0V,IS2=250.0uA,IS2=15.00A,IS2=15.00A,IS1=3.000A,VSG=-16.00V,VSG=16.00V,VS2S1=80.00V,IS2=250.0uA
Bias2,,,,,,,,,,,VG2S2=0.000V,,,VG2S2=0.000V,,,VG2S2=0.000V,,,,,VG2S2=0.000V,VG1=10.0V,VG1=4.50V,VGS2=10.0V,,,,VG2S2=0.000V
Bias3,,,,,,,,,,,,,,,,,,,,Vmax=200V,,,VG2=10.0V,VG2=4.50V,,,,,
Min Limit,,,,,,0.5000,0.5000,0.5000,-5.000,-1.000,1.000,0.5000,-1.000,1.000,0.5000,-1.000,1.000,-95.00,-95.00,106.5,0.0100,1.150,34.40,35.80,0.6000,-80.00,-80.00,0.0100,1.000
Max Limit,,,,,,2.000,2.000,2.000,20.00,1.000,3.000,2.000,1.000,3.000,2.000,1.000,3.000,95.00,95.00,135.0,10.00,1.750,51.60,77.00,1.100,80.00,80.00,5.000,3.000
Min Result,,,,,,1,1,1,3.06554317474365,-0.0100218430161476,1.43577682971954,1,-0.00929021835327148,1.4366899728775,1,-0.00904634315520525,1.43638563156128,-5.95596408843994,1.51614713668823,0.355355978012085,0.613736987113953,1.43729877471924,40.9191017150879,53.3890914916992,0.673300385475159,-3.36249947547913,0.70645135641098,0.349533975124359,1.43638563156128
Max Result,,,,,,1,1,1,11.274374961853,-9.87220846582204E-6,1.53409218788147,1,-9.87220846582204E-6,1.53348350524902,1,-9.87220846582204E-6,1.53470098972321,-0.0100000007078052,85.8100509643555,115.577865600586,62.3109588623047,1.53439664840698,45.4807014465332,58.1983222961426,0.684562504291534,-0.0100000007078052,6.83569478988647,0.829029381275177,1.53409218788147
Average,,,,,,1,1,1,5.09028520511027,-0.00173434693494028,1.47192569335942,1,-0.00132964693720414,1.47216594569958,1,-0.00154209916797087,1.47208845844137,-1.74043610261879,5.47533252118145,113.983480427498,1.27825724973291,1.4726237209292,42.3845780278595,54.9908430385224,0.677694139491275,-1.40310332881711,3.79791973471335,0.684667402131917,1.47205346282405
STD DEV,,,,,,0,0,0,0.871828450749743,0.00143135695912905,0.0196229044621261,0,0.00133530968309744,0.0195567890128048,0,0.00139318190709049,0.0196026038525827,0.904173517944833,3.1064353609407,2.91815455427742,0.985533377980035,0.0195886576915366,0.801534361308687,0.883646994423449,0.00192060771386242,0.869471907752499,1.02287092138484,0.0782786990305122,0.0195915938021462
Site,Serial,Sbin,Bin,X,Y,,,,mV,uA,V,,uA,V,,uA,V,nA,nA,V,uA,V,mR,mR,V,nA,nA,uA,V
